Donation_ID,Donor_ID,Food_Category,Quantity_KG,Donation_Date,Pickup_Location,Pickup_Time,Expiry_Hours,Status,Estimated_Meals,Status_Clean,NGO_ID,Delivery_Status,Claim_Date,Claim_Count,Total_Claimed_KG,Delivered_Claim_Count,Delivered_Quantity_KG,Average_Pickup_Delay_Min,Donor_Name,Donor_Type,City,NGO_Name,City_NGO,Service_Area,Beneficiaries_Served_Monthly,Volunteer_Count,Active,Month,Year
DON609088,DNR502827,Other,27.52,2026-01-01,Kolkata,Evening,9.7,Picked Up,61,picked up,NGO701415,Requested,2026-01-09,1.0,6.67,0.0,0.0,69.0,Donor 2828,Cafeteria,Ahmedabad,Community NGO 1416,Delhi NCR,Central,1804.0,63.0,Yes,2026-01,2026
DON614168,DNR500093,Fruits & Vegetables,20.01,2026-01-01,Remote,Evening,9.9,Wasted,44,wasted,NGO703058,Delivered,2026-07-01,2.0,29.9,2.0,29.9,31.5,Donor 94,Hotel,Delhi NCR,Community NGO 3059,Remote,East,1490.0,71.0,Yes,2026-01,2026
DON602643,DNR508647,Rice & Grains,11.67,2026-01-01,Bengaluru,Afternoon,13.6,Delivered,26,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 8648,Restaurant,Kolkata,,,,,,,2026-01,2026
DON602633,DNR500107,Fruits & Vegetables,16.82,2026-01-01,Remote,Evening,19.4,Delivered,37,delivered,NGO704861,Picked Up,2026-04-12,2.0,34.17,1.0,8.04,46.0,Donor 108,Hotel,Bengaluru,Community NGO 4862,Ahmedabad,West,2853.0,43.0,Yes,2026-01,2026
DON617555,DNR504346,Packaged Food,21.43,2026-01-01,Hyderabad,Evening,19.4,Picked Up,47,picked up,,No Claim,,0.0,0.0,0.0,0.0,,Donor 4347,Hotel,Jaipur,,,,,,,2026-01,2026
DON601782,DNR503912,Fruits & Vegetables,33.35,2026-01-01,Hyderabad,Evening,31.0,Available,73,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 3913,Household,Hyderabad,,,,,,,2026-01,2026
DON606026,DNR508277,Cooked Meals,51.83,2026-01-01,Hyderabad,Afternoon,34.6,Delivered,114,delivered,NGO703858,Assigned,2026-07-03,1.0,14.58,0.0,0.0,45.0,Donor 8278,Hotel,Pune,Community NGO 3859,Bengaluru,West,2688.0,66.0,Yes,2026-01,2026
DON609322,DNR505455,Cooked Meals,3.55,2026-01-01,Mumbai,Evening,34.6,Picked Up,8,picked up,,No Claim,,0.0,0.0,0.0,0.0,,Donor 5456,Cafeteria,Chennai,,,,,,,2026-01,2026
DON600600,DNR506139,Cooked Meals,46.16,2026-01-01,Kolkata,Evening,33.9,Picked Up,102,picked up,NGO701792,Assigned,2026-06-01,2.0,29.22,0.0,0.0,48.0,Donor 6140,Bakery,Kolkata,Community NGO 1793,Delhi NCR,Central,822.0,46.0,Yes,2026-01,2026
DON618891,DNR509507,Fruits & Vegetables,18.85,2026-01-01,Mumbai,Afternoon,15.1,Delivered,41,delivered,NGO701297,Delivered,2026-02-19,1.0,7.09,1.0,7.09,88.0,Donor 9508,Restaurant,Bengaluru,Community NGO 1298,Hyderabad,West,2057.0,46.0,Yes,2026-01,2026
DON614752,DNR502992,Bakery,19.22,2026-01-01,Delhi NCR,Afternoon,8.9,Delivered,42,delivered,NGO702444,Delivered,2026-04-30,1.0,2.16,1.0,2.16,5.0,Donor 2993,Grocery Store,Ahmedabad,Community NGO 2445,Jaipur,West,937.0,36.0,Yes,2026-01,2026
DON604003,DNR507682,Beverages,45.28,2026-01-01,Kolkata,Morning,28.0,Picked Up,100,picked up,NGO707417,Picked Up,2026-05-20,2.0,39.129999999999995,1.0,26.83,51.0,Donor 7683,Event,Mumbai,Community NGO 7418,Bengaluru,East,743.0,5.0,No,2026-01,2026
DON603988,DNR509421,Rice & Grains,57.38,2026-01-01,Remote,Morning,13.4,Picked Up,126,picked up,NGO703202,Cancelled,2026-05-26,1.0,15.26,0.0,0.0,49.0,Donor 9422,Household,Remote,Community NGO 3203,Pune,East,2436.0,5.0,Yes,2026-01,2026
DON607233,DNR506332,Dairy,53.74,2026-01-01,Pune,Evening,18.0,Delivered,118,delivered,NGO707131,Delivered,2026-01-24,1.0,30.93,1.0,30.93,15.0,Donor 6333,Restaurant,Chennai,Community NGO 7132,Remote,East,1844.0,63.0,Yes,2026-01,2026
DON601310,DNR505642,Cooked Meals,56.5,2026-01-01,Bengaluru,Morning,22.5,Available,124,available,NGO702446,Delivered,2026-03-16,1.0,17.96,1.0,17.96,5.0,Donor 5643,Cafeteria,Chennai,Community NGO 2447,Pune,North,2732.0,37.0,Yes,2026-01,2026
DON619419,DNR501691,Packaged Food,20.44,2026-01-01,Remote,Night,15.3,Picked Up,45,picked up,,No Claim,,0.0,0.0,0.0,0.0,,Donor 1692,Hotel,Bengaluru,,,,,,,2026-01,2026
DON612949,DNR502607,Fruits & Vegetables,21.69,2026-01-01,Delhi NCR,Afternoon,11.4,Available,48,available,NGO705819,Picked Up,2026-07-04,1.0,13.05,0.0,0.0,17.0,Donor 2608,Grocery Store,Ahmedabad,Community NGO 5820,Chennai,East,731.0,30.0,Yes,2026-01,2026
DON611647,DNR511602,Cooked Meals,17.41,2026-01-01,Delhi NCR,Afternoon,23.5,Delivered,38,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 11603,Household,Remote,,,,,,,2026-01,2026
DON607423,DNR510106,Dairy,6.42,2026-01-01,Chennai,Morning,23.3,Delivered,14,delivered,NGO707710,Cancelled,2026-03-01,1.0,22.9,0.0,0.0,5.0,Donor 10107,Restaurant,Remote,Community NGO 7711,Chennai,Central,54.0,49.0,Yes,2026-01,2026
DON601403,DNR505355,Rice & Grains,28.17,2026-01-01,Delhi NCR,Afternoon,20.6,Expired,62,expired,,No Claim,,0.0,0.0,0.0,0.0,,Donor 5356,Hotel,Bengaluru,,,,,,,2026-01,2026
DON603570,DNR500241,Packaged Food,12.61,2026-01-01,Ahmedabad,Evening,22.0,Picked Up,28,picked up,NGO709780,Cancelled,2026-04-23,1.0,12.98,0.0,0.0,53.0,Donor 242,Restaurant,Remote,Community NGO 9781,Jaipur,West,1646.0,48.0,No,2026-01,2026
DON601421,DNR505099,Beverages,25.51,2026-01-01,Chennai,Evening,15.6,Expired,56,expired,,No Claim,,0.0,0.0,0.0,0.0,,Donor 5100,Household,Remote,,,,,,,2026-01,2026
DON607584,DNR508012,Other,41.33,2026-01-01,Kolkata,Evening,26.1,Delivered,91,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 8013,Bakery,Bengaluru,,,,,,,2026-01,2026
DON618455,DNR510404,Cooked Meals,17.55,2026-01-01,Jaipur,Evening,25.3,Available,39,available,NGO700506,Delivered,2026-06-12,1.0,25.86,1.0,25.86,45.0,Donor 10405,Hotel,Chennai,Community NGO 507,Remote,North,2973.0,52.0,Yes,2026-01,2026
DON615499,DNR502164,Packaged Food,20.87,2026-01-01,Ahmedabad,Evening,20.8,Picked Up,46,picked up,NGO705257,Picked Up,2026-04-05,2.0,59.28,1.0,41.75,43.0,Donor 2165,Cafeteria,Jaipur,Community NGO 5258,Remote,Central,2326.0,28.0,Yes,2026-01,2026
DON607695,DNR507800,Rice & Grains,27.26,2026-01-01,Jaipur,Night,17.4,Delivered,60,delivered,NGO709822,Assigned,2026-08-07,1.0,7.7,0.0,0.0,12.0,Donor 7801,Hotel,Bengaluru,Community NGO 9823,Hyderabad,South,1241.0,66.0,Yes,2026-01,2026
DON612994,DNR506958,Packaged Food,13.04,2026-01-01,Pune,Evening,24.6,Delivered,29,delivered,NGO700390,Delivered,2026-03-28,2.0,30.79,2.0,30.79,61.5,Donor 6959,Restaurant,Ahmedabad,Community NGO 391,Bengaluru,Citywide,643.0,36.0,No,2026-01,2026
DON608388,DNR508456,Cooked Meals,19.95,2026-01-01,Kolkata,Afternoon,14.9,Wasted,44,wasted,,No Claim,,0.0,0.0,0.0,0.0,,Donor 8457,Household,Chennai,,,,,,,2026-01,2026
DON615279,DNR504562,Bakery,10.37,2026-01-01,Chennai,Evening,18.3,Delivered,23,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 4563,Household,Mumbai,,,,,,,2026-01,2026
DON607846,DNR504627,Fruits & Vegetables,41.84,2026-01-01,Hyderabad,Evening,7.5,Picked Up,92,picked up,,No Claim,,0.0,0.0,0.0,0.0,,Donor 4628,Restaurant,Bengaluru,,,,,,,2026-01,2026
DON607881,DNR510831,Catering Surplus,14.21,2026-01-01,Ahmedabad,Evening,2.0,Delivered,31,delivered,NGO703592,Delivered,2026-08-04,2.0,26.459999999999997,2.0,26.459999999999997,15.5,Donor 10832,Cafeteria,Mumbai,Community NGO 3593,Ahmedabad,East,71.0,43.0,Yes,2026-01,2026
DON606926,DNR509047,Dairy,49.42,2026-01-01,Kolkata,Night,17.3,Delivered,109,delivered,NGO703282,Assigned,2026-08-07,1.0,16.91,0.0,0.0,35.0,Donor 9048,Event,Kolkata,Community NGO 3283,Remote,North,967.0,4.0,Yes,2026-01,2026
DON606911,DNR511991,Rice & Grains,21.51,2026-01-01,Remote,Afternoon,11.1,Claimed,47,claimed,NGO700002,Assigned,2026-06-28,1.0,10.02,0.0,0.0,51.0,Donor 11992,Bakery,Kolkata,Community NGO 3,Remote,South,1015.0,53.0,Yes,2026-01,2026
DON603330,DNR501638,Beverages,17.94,2026-01-01,Pune,Afternoon,2.0,Claimed,39,claimed,,No Claim,,0.0,0.0,0.0,0.0,,Donor 1639,Restaurant,Ahmedabad,,,,,,,2026-01,2026
DON612039,DNR503184,Cooked Meals,34.88,2026-01-01,Jaipur,Afternoon,23.8,Available,77,available,NGO709863,Assigned,2026-04-25,1.0,6.55,0.0,0.0,26.0,Donor 3185,Restaurant,Mumbai,Community NGO 9864,Remote,East,2291.0,63.0,Yes,2026-01,2026
DON613776,DNR511120,Rice & Grains,18.61,2026-01-01,Kolkata,Evening,23.6,Expired,41,expired,NGO701984,Delivered,2026-05-19,1.0,9.59,1.0,9.59,50.0,Donor 11121,Bakery,Remote,Community NGO 1985,Mumbai,East,2916.0,53.0,Yes,2026-01,2026
DON608133,DNR504098,Fruits & Vegetables,13.02,2026-01-01,Chennai,Night,35.9,Picked Up,29,picked up,NGO705067,Delivered,2026-06-03,1.0,7.62,1.0,7.62,26.0,Donor 4099,Restaurant,Hyderabad,Community NGO 5068,Pune,North,942.0,12.0,Yes,2026-01,2026
DON608209,DNR508071,Cooked Meals,37.78,2026-01-01,Chennai,Afternoon,10.9,Delivered,83,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 8072,Restaurant,Ahmedabad,,,,,,,2026-01,2026
DON603197,DNR502702,Dairy,8.25,2026-01-01,Remote,Night,11.5,Picked Up,18,picked up,NGO704708,Delivered,2026-05-23,1.0,71.11,1.0,71.11,42.0,Donor 2703,Cafeteria,Kolkata,Community NGO 4709,Remote,East,192.0,8.0,Yes,2026-01,2026
DON617280,DNR501271,Catering Surplus,12.11,2026-01-01,Ahmedabad,Night,9.9,Delivered,27,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 1272,Hotel,Jaipur,,,,,,,2026-01,2026
DON613062,DNR510858,Cooked Meals,10.0,2026-01-01,Chennai,Afternoon,11.6,Picked Up,22,picked up,NGO701406,Delivered,2026-06-04,2.0,33.91,2.0,33.91,36.5,Donor 10859,Cafeteria,Chennai,Community NGO 1407,Jaipur,West,1647.0,2.0,Yes,2026-01,2026
DON603935,DNR505016,Cooked Meals,7.41,2026-01-01,Chennai,Morning,13.0,Wasted,16,wasted,,No Claim,,0.0,0.0,0.0,0.0,,Donor 5017,Cafeteria,Kolkata,,,,,,,2026-01,2026
DON608372,DNR506458,Packaged Food,34.76,2026-01-01,Chennai,Evening,10.1,Delivered,76,delivered,NGO700083,Delivered,2026-04-20,2.0,42.16,2.0,42.16,29.5,Donor 6459,Event,Chennai,Community NGO 84,Delhi NCR,West,1543.0,13.0,Yes,2026-01,2026
DON616896,DNR507912,Bakery,5.62,2026-01-01,Chennai,Evening,2.6,Expired,12,expired,NGO704997,Delivered,2026-03-23,1.0,21.5,1.0,21.5,65.0,Donor 7913,Household,Chennai,Community NGO 4998,Hyderabad,North,1530.0,6.0,Yes,2026-01,2026
DON616267,DNR501753,Snacks,21.91,2026-01-01,Pune,Afternoon,28.0,Delivered,48,delivered,NGO706225,Cancelled,2026-07-05,1.0,28.43,0.0,0.0,46.0,Donor 1754,Cafeteria,Mumbai,Community NGO 6226,Delhi NCR,East,740.0,8.0,Yes,2026-01,2026
DON607263,DNR509255,Snacks,26.1,2026-01-01,Delhi NCR,Evening,22.8,Available,57,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 9256,Restaurant,Kolkata,,,,,,,2026-01,2026
DON614765,DNR506133,Catering Surplus,36.09,2026-01-01,Ahmedabad,Afternoon,24.8,Picked Up,79,picked up,NGO706083,Assigned,2026-07-16,2.0,42.08,1.0,4.21,40.0,Donor 6134,Restaurant,Chennai,Community NGO 6084,Mumbai,South,2076.0,26.0,No,2026-01,2026
DON605135,DNR511254,Other,17.84,2026-01-01,Jaipur,Afternoon,11.3,Claimed,39,claimed,NGO703451,Picked Up,2026-01-29,1.0,28.38,0.0,0.0,17.0,Donor 11255,Event,Bengaluru,Community NGO 3452,Mumbai,North,1077.0,35.0,Yes,2026-01,2026
DON605055,DNR507401,Rice & Grains,31.71,2026-01-01,Bengaluru,Evening,31.0,Delivered,70,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 7402,Restaurant,Hyderabad,,,,,,,2026-01,2026
DON619132,DNR506007,Cooked Meals,3.6,2026-01-01,Remote,Afternoon,31.0,Delivered,8,delivered,NGO703943,Delivered,2026-08-04,1.0,28.89,1.0,28.89,62.0,Donor 6008,Hotel,Chennai,Community NGO 3944,Delhi NCR,East,2293.0,70.0,Yes,2026-01,2026
DON605066,DNR504493,Dairy,37.25,2026-01-01,Remote,Evening,12.6,Available,82,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 4494,Hotel,Mumbai,,,,,,,2026-01,2026
DON612666,DNR507942,Packaged Food,11.51,2026-01-01,Chennai,Evening,14.4,Delivered,25,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 7943,Restaurant,Ahmedabad,,,,,,,2026-01,2026
DON600949,DNR509337,Packaged Food,28.67,2026-01-01,Delhi NCR,Night,21.0,Available,63,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 9338,Household,Pune,,,,,,,2026-01,2026
DON614764,DNR504769,Bakery,16.35,2026-01-01,Bengaluru,Morning,24.1,Picked Up,36,picked up,,No Claim,,0.0,0.0,0.0,0.0,,Donor 4770,Event,Hyderabad,,,,,,,2026-01,2026
DON605698,DNR505968,Bakery,9.99,2026-01-01,Chennai,Afternoon,19.6,Delivered,22,delivered,NGO700616,Delivered,2026-04-13,2.0,30.979999999999997,2.0,30.979999999999997,15.0,Donor 5969,Restaurant,Jaipur,Community NGO 617,Mumbai,North,487.0,79.0,Yes,2026-01,2026
DON615879,DNR502893,Dairy,43.43,2026-01-01,Chennai,Morning,19.6,Picked Up,96,picked up,NGO704902,Delivered,2026-07-06,2.0,46.43000000000001,2.0,46.43000000000001,15.5,Donor 2894,Grocery Store,Ahmedabad,Community NGO 4903,Pune,East,2060.0,74.0,Yes,2026-01,2026
DON613189,DNR503617,Bakery,34.82,2026-01-01,Jaipur,Evening,12.0,Available,77,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 3618,Household,Mumbai,,,,,,,2026-01,2026
DON600874,DNR505892,Bakery,18.18,2026-01-01,Delhi NCR,Afternoon,16.4,Picked Up,40,picked up,,No Claim,,0.0,0.0,0.0,0.0,,Donor 5893,Cafeteria,Delhi NCR,,,,,,,2026-01,2026
DON601850,DNR507403,Snacks,14.85,2026-01-01,Bengaluru,Evening,4.5,Delivered,33,delivered,NGO704645,Delivered,2026-03-25,2.0,31.9,2.0,31.9,65.5,Donor 7404,Household,Remote,Community NGO 4646,Ahmedabad,Central,1160.0,15.0,No,2026-01,2026
DON617899,DNR502942,Bakery,12.81,2026-01-01,Chennai,Morning,32.9,Available,28,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 2943,Event,Pune,,,,,,,2026-01,2026
DON616069,DNR508345,Snacks,12.89,2026-01-01,Pune,Evening,10.9,Claimed,28,claimed,NGO701765,Delivered,2026-05-04,1.0,15.47,1.0,15.47,13.0,Donor 8346,Hotel,Jaipur,Community NGO 1766,Hyderabad,North,1308.0,32.0,Yes,2026-01,2026
DON616006,DNR505349,Cooked Meals,38.93,2026-01-01,Bengaluru,Morning,18.5,Wasted,86,wasted,,No Claim,,0.0,0.0,0.0,0.0,,Donor 5350,Restaurant,Kolkata,,,,,,,2026-01,2026
DON602382,DNR508132,Cooked Meals,26.28,2026-01-01,Hyderabad,Afternoon,9.2,Claimed,58,claimed,NGO703951,Delivered,2026-02-23,1.0,16.59,1.0,16.59,36.0,Donor 8133,Event,Hyderabad,Community NGO 3952,Kolkata,Citywide,431.0,45.0,No,2026-01,2026
DON610295,DNR509757,Packaged Food,45.32,2026-01-01,Chennai,Afternoon,19.4,Picked Up,100,picked up,,No Claim,,0.0,0.0,0.0,0.0,,Donor 9758,Grocery Store,Ahmedabad,,,,,,,2026-01,2026
DON605477,DNR505336,Dairy,14.17,2026-01-01,Delhi NCR,Evening,7.5,Delivered,31,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 5337,Grocery Store,Chennai,,,,,,,2026-01,2026
DON602365,DNR504281,Fruits & Vegetables,11.27,2026-01-01,Delhi NCR,Afternoon,21.7,Picked Up,25,picked up,NGO706577,Picked Up,2026-05-07,1.0,34.13,0.0,0.0,15.0,Donor 4282,Grocery Store,Chennai,Community NGO 6578,Kolkata,West,1510.0,75.0,Yes,2026-01,2026
DON600775,DNR502994,Cooked Meals,34.9,2026-01-01,Delhi NCR,Evening,23.8,Delivered,77,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 2995,Cafeteria,Jaipur,,,,,,,2026-01,2026
DON619247,DNR504268,Packaged Food,13.84,2026-01-01,Chennai,Morning,3.0,Delivered,30,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 4269,Household,Delhi NCR,,,,,,,2026-01,2026
DON614951,DNR506295,Snacks,7.56,2026-01-01,Bengaluru,Evening,16.8,Delivered,17,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 6296,Household,Kolkata,,,,,,,2026-01,2026
DON610105,DNR502079,Bakery,17.41,2026-01-01,Kolkata,Evening,17.5,Claimed,38,claimed,NGO709669,Picked Up,2026-04-04,2.0,47.36,1.0,16.55,35.0,Donor 2080,Cafeteria,Delhi NCR,Community NGO 9670,Ahmedabad,West,1174.0,45.0,No,2026-01,2026
DON609930,DNR506824,Cooked Meals,76.43,2026-01-01,Chennai,Afternoon,11.9,Claimed,168,claimed,,No Claim,,0.0,0.0,0.0,0.0,,Donor 6825,Restaurant,Bengaluru,,,,,,,2026-01,2026
DON604934,DNR500045,Catering Surplus,20.76,2026-01-01,Chennai,Night,25.0,Delivered,46,delivered,NGO706271,Picked Up,2026-04-16,1.0,21.13,0.0,0.0,5.0,Donor 46,Grocery Store,Mumbai,Community NGO 6272,Delhi NCR,North,603.0,18.0,Yes,2026-01,2026
DON601835,DNR503174,Other,36.21,2026-01-01,Hyderabad,Afternoon,27.3,Delivered,80,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 3175,Household,Chennai,,,,,,,2026-01,2026
DON604711,DNR500775,Other,25.85,2026-01-01,Ahmedabad,Night,23.5,Delivered,57,delivered,,No Claim,,0.0,0.0,0.0,0.0,,Donor 776,Grocery Store,Ahmedabad,,,,,,,2026-01,2026
DON616104,DNR503374,Catering Surplus,54.11,2026-01-01,Ahmedabad,Afternoon,5.4,Delivered,119,delivered,NGO702643,Picked Up,2026-04-15,3.0,56.6,1.0,14.66,51.333333333333336,Donor 3375,Restaurant,Hyderabad,Community NGO 2644,Mumbai,North,810.0,14.0,Yes,2026-01,2026
DON610403,DNR503982,Bakery,58.12,2026-01-01,Ahmedabad,Afternoon,12.4,Wasted,128,wasted,,No Claim,,0.0,0.0,0.0,0.0,,Donor 3983,Grocery Store,Remote,,,,,,,2026-01,2026
DON617674,DNR500660,Other,36.75,2026-01-02,Chennai,Morning,19.6,Expired,81,expired,NGO706622,Picked Up,2026-06-07,1.0,12.69,0.0,0.0,32.0,Donor 661,Cafeteria,Bengaluru,Community NGO 6623,Bengaluru,East,672.0,12.0,Yes,2026-01,2026
DON603898,DNR503802,Bakery,8.97,2026-01-02,Kolkata,Evening,18.9,Available,20,available,,No Claim,,0.0,0.0,0.0,0.0,,Donor 3803,Hotel,Bengaluru,,,,,,,2026-01,2026
DON611245,DNR503554,Snacks,46.91,2026-01-02,Remote,Night,20.3,Delivered,103,delivered,NGO707226,Delivered,2026-06-09,1.0,52.59,1.0,52.59,40.0,Donor 3555,Hotel,Chennai,Community NGO 7227,Kolkata,North,383.0,35.0,Yes,2026-01,2026
DON612142,DNR510187,Bakery,19.51,2026-01-02,Jaipur,Afternoon,19.2,Delivered,43,delivered,NGO707693,Picked Up,2026-02-16,1.0,19.82,0.0,0.0,8.0,Donor 10188,Restaurant,Kolkata,Community NGO 7694,Pune,Citywide,2243.0,68.0,Yes,2026-01,2026
