Donor_ID,Donation_Count,Total_Quantity_KG,Average_Quantity_KG,Donor_Name,Donor_Type,City
DNR500185,6,139.34,23.22,Donor 186,Household,Bengaluru
DNR510620,6,139.58,23.26,Donor 10621,Hotel,Pune
DNR504781,6,110.76,18.46,Donor 4782,Household,Ahmedabad
DNR510487,6,116.15,19.36,Donor 10488,Restaurant,Delhi NCR
DNR504804,6,188.64,31.44,Donor 4805,Restaurant,Mumbai
DNR503963,6,129.7,21.62,Donor 3964,Hotel,Chennai
DNR505445,6,123.82,20.64,Donor 5446,Cafeteria,Jaipur
DNR502193,6,130.43,21.74,Donor 2194,Restaurant,Ahmedabad
DNR501978,6,125.01,20.83,Donor 1979,Grocery Store,Pune
DNR501968,6,137.04,22.84,Donor 1969,Hotel,Chennai
DNR509516,6,175.06,29.18,Donor 9517,Restaurant,Jaipur
DNR509604,6,207.95,34.66,Donor 9605,Hotel,Kolkata
DNR505023,6,134.16,22.36,Donor 5024,Household,Jaipur
DNR511275,6,141.92,23.65,Donor 11276,Event,Pune
DNR508112,6,161.55,26.92,Donor 8113,Grocery Store,Bengaluru
DNR505296,6,127.13,21.19,Donor 5297,Hotel,Ahmedabad
DNR501723,6,141.16,23.53,Donor 1724,Cafeteria,Chennai
DNR510804,6,195.84,32.64,Donor 10805,Restaurant,Bengaluru
DNR501870,6,182.32,30.39,Donor 1871,Hotel,Chennai
DNR505259,6,119.92,19.99,Donor 5260,Household,Pune
DNR506146,6,84.3,14.05,Donor 6147,Event,Chennai
DNR509501,6,139.31,23.22,Donor 9502,Household,Remote
DNR507142,6,172.74,28.79,Donor 7143,Restaurant,Bengaluru
DNR500219,6,143.68,23.95,Donor 220,Grocery Store,Pune
DNR510236,6,86.72,14.45,Donor 10237,Grocery Store,Chennai
DNR508409,6,121.06,20.18,Donor 8410,Cafeteria,Pune
DNR511670,6,124.23,20.7,Donor 11671,Household,Jaipur
DNR507274,6,172.25,28.71,Donor 7275,Cafeteria,Remote
DNR500104,6,191.82,31.97,Donor 105,Restaurant,Chennai
DNR501335,6,185.18,30.86,Donor 1336,Cafeteria,Hyderabad
DNR505733,5,116.49,23.3,Donor 5734,Cafeteria,Remote
DNR508339,5,138.26,27.65,Donor 8340,Event,Remote
DNR505698,5,85.78,17.16,Donor 5699,Restaurant,Jaipur
DNR503309,5,119.91,23.98,Donor 3310,Household,Bengaluru
DNR507379,5,123.87,24.77,Donor 7380,Bakery,Kolkata
DNR504260,5,188.19,37.64,Donor 4261,Household,Ahmedabad
DNR510241,5,151.24,30.25,Donor 10242,Household,Jaipur
DNR507710,5,106.28,21.26,Donor 7711,Event,Pune
DNR504296,5,114.29,22.86,Donor 4297,Restaurant,Kolkata
DNR511688,5,119.52,23.9,Donor 11689,Event,Delhi NCR
DNR506772,5,132.41,26.48,Donor 6773,Bakery,Bengaluru
DNR507303,5,138.78,27.76,Donor 7304,Cafeteria,Delhi NCR
DNR507301,5,104.79,20.96,Donor 7302,Household,Jaipur
DNR507341,5,121.06,24.21,Donor 7342,Cafeteria,Remote
DNR510209,5,144.75,28.95,Donor 10210,Household,Chennai
DNR507693,5,140.59,28.12,Donor 7694,Restaurant,Bengaluru
DNR507690,5,176.74,35.35,Donor 7691,Household,Pune
DNR500461,5,146.63,29.33,Donor 462,Hotel,Delhi NCR
DNR510223,5,172.8,34.56,Donor 10224,Bakery,Bengaluru
DNR505903,5,94.16,18.83,Donor 5904,Restaurant,Remote
DNR505901,5,105.85,21.17,Donor 5902,Restaurant,Chennai
DNR501454,5,92.01,18.4,Donor 1455,Household,Kolkata
DNR505886,5,157.34,31.47,Donor 5887,Household,Delhi NCR
DNR501270,5,155.12,31.02,Donor 1271,Bakery,Ahmedabad
DNR507162,5,104.4,20.88,Donor 7163,Grocery Store,Ahmedabad
DNR508647,5,107.22,21.44,Donor 8648,Restaurant,Kolkata
DNR508644,5,108.84,21.77,Donor 8645,Cafeteria,Bengaluru
DNR508642,5,160.9,32.18,Donor 8643,Grocery Store,Ahmedabad
DNR501800,5,178.59,35.72,Donor 1801,Household,Jaipur
DNR501821,5,141.13,28.23,Donor 1822,Event,Chennai
DNR507101,5,118.27,23.65,Donor 7102,Household,Remote
DNR506159,5,125.95,25.19,Donor 6160,Restaurant,Hyderabad
DNR508061,5,109.71,21.94,Donor 8062,Grocery Store,Ahmedabad
DNR508058,5,160.44,32.09,Donor 8059,Restaurant,Remote
DNR501014,5,109.71,21.94,Donor 1015,Household,Mumbai
DNR506139,5,148.35,29.67,Donor 6140,Bakery,Kolkata
DNR510779,5,123.87,24.77,Donor 10780,Restaurant,Remote
DNR505133,5,105.85,21.17,Donor 5134,Cafeteria,Kolkata
DNR501851,5,144.22,28.84,Donor 1852,Bakery,Mumbai
DNR508080,5,100.51,20.1,Donor 8081,Restaurant,Hyderabad
DNR501830,5,92.18,18.44,Donor 1831,Household,Mumbai
DNR510805,5,108.94,21.79,Donor 10806,Hotel,Delhi NCR
DNR510001,5,108.3,21.66,Donor 10002,Grocery Store,Bengaluru
DNR500258,5,192.09,38.42,Donor 259,Hotel,Kolkata
DNR500247,5,131.72,26.34,Donor 248,Grocery Store,Hyderabad
DNR505099,5,137.11,27.42,Donor 5100,Household,Remote
DNR508735,5,121.78,24.36,Donor 8736,Grocery Store,Pune
DNR508730,5,104.41,20.88,Donor 8731,Restaurant,Kolkata
DNR500196,5,123.46,24.69,Donor 197,Household,Kolkata
DNR505273,5,106.32,21.26,Donor 5274,Hotel,Ahmedabad
DNR508599,5,142.93,28.59,Donor 8600,Restaurant,Pune
DNR506083,5,120.55,24.11,Donor 6084,Household,Hyderabad
DNR505308,5,123.08,24.62,Donor 5309,Bakery,Ahmedabad
DNR501715,5,132.19,26.44,Donor 1716,Bakery,Chennai
DNR510837,5,155.05,31.01,Donor 10838,Household,Remote
DNR506109,5,107.8,21.56,Donor 6110,Household,Hyderabad
DNR506105,5,128.52,25.7,Donor 6106,Grocery Store,Pune
DNR506135,5,144.42,28.88,Donor 6136,Event,Jaipur
DNR501025,5,132.25,26.45,Donor 1026,Restaurant,Mumbai
DNR508650,5,172.42,34.48,Donor 8651,Hotel,Bengaluru
DNR505147,5,86.46,17.29,Donor 5148,Household,Hyderabad
DNR501900,5,138.71,27.74,Donor 1901,Restaurant,Mumbai
DNR510781,5,97.23,19.45,Donor 10782,Restaurant,Delhi NCR
DNR500978,5,71.24,14.25,Donor 979,Cafeteria,Delhi NCR
DNR503766,5,106.34,21.27,Donor 3767,Restaurant,Jaipur
DNR503082,5,133.13,26.63,Donor 3083,Cafeteria,Jaipur
DNR509973,5,131.87,26.37,Donor 9974,Restaurant,Ahmedabad
DNR507492,5,142.19,28.44,Donor 7493,Restaurant,Remote
DNR510690,5,90.36,18.07,Donor 10691,Restaurant,Mumbai
DNR502010,5,148.32,29.66,Donor 2011,Cafeteria,Delhi NCR
DNR508774,5,108.02,21.6,Donor 8775,Hotel,Mumbai
DNR511376,5,90.31,18.06,Donor 11377,Hotel,Kolkata
DNR501932,5,139.47,27.89,Donor 1933,Household,Chennai
DNR503873,5,160.17,32.03,Donor 3874,Restaurant,Chennai
DNR511837,5,218.55,43.71,Donor 11838,Hotel,Delhi NCR
DNR505071,5,161.43,32.29,Donor 5072,Household,Jaipur
DNR508763,5,167.07,33.41,Donor 8764,Hotel,Pune
DNR508757,5,105.64,21.13,Donor 8758,Grocery Store,Delhi NCR
DNR506183,5,125.16,25.03,Donor 6184,Restaurant,Jaipur
DNR501916,5,139.52,27.9,Donor 1917,Restaurant,Chennai
DNR506293,5,153.09,30.62,Donor 6294,Event,Kolkata
DNR500868,5,113.28,22.66,Donor 869,Restaurant,Remote
DNR511422,5,93.8,18.76,Donor 11423,Event,Delhi NCR
DNR503007,5,139.81,27.96,Donor 3008,Restaurant,Remote
DNR503882,5,183.67,36.73,Donor 3883,Event,Ahmedabad
DNR500289,5,110.25,22.05,Donor 290,Event,Kolkata
DNR509476,5,131.07,26.21,Donor 9477,Restaurant,Jaipur
DNR503935,5,96.16,19.23,Donor 3936,Grocery Store,Pune
DNR504958,5,122.72,24.54,Donor 4959,Cafeteria,Kolkata
DNR508818,5,75.12,15.02,Donor 8819,Grocery Store,Hyderabad
DNR506267,5,75.51,15.1,Donor 6268,Cafeteria,Mumbai
DNR502059,5,132.01,26.4,Donor 2060,Grocery Store,Delhi NCR
DNR501979,5,117.35,23.47,Donor 1980,Household,Hyderabad
DNR507978,5,68.5,13.7,Donor 7979,Event,Remote
DNR507961,5,110.58,22.12,Donor 7962,Restaurant,Kolkata
DNR506353,5,93.72,18.74,Donor 6354,Household,Ahmedabad
DNR510063,5,195.59,39.12,Donor 10064,Cafeteria,Ahmedabad
DNR510057,5,125.89,25.18,Donor 10058,Hotel,Ahmedabad
DNR503946,5,173.15,34.63,Donor 3947,Grocery Store,Pune
DNR509582,5,114.87,22.97,Donor 9583,Household,Kolkata
DNR505330,5,101.95,20.39,Donor 5331,Grocery Store,Hyderabad
DNR506046,5,205.0,41.0,Donor 6047,Cafeteria,Mumbai
DNR510920,5,138.62,27.72,Donor 10921,Restaurant,Jaipur
DNR510910,5,122.67,24.53,Donor 10911,Cafeteria,Remote
DNR509574,5,113.11,22.62,Donor 9575,Hotel,Kolkata
DNR509564,5,122.64,24.53,Donor 9565,Cafeteria,Ahmedabad
DNR503752,5,147.91,29.58,Donor 3753,Cafeteria,Bengaluru
DNR500203,5,92.5,18.5,Donor 204,Restaurant,Chennai
DNR507008,5,88.5,17.7,Donor 7009,Restaurant,Mumbai
DNR507000,5,123.46,24.69,Donor 7001,Hotel,Bengaluru
DNR504904,5,130.85,26.17,Donor 4905,Cafeteria,Chennai
DNR502150,5,139.6,27.92,Donor 2151,Cafeteria,Mumbai
DNR500839,5,113.68,22.74,Donor 840,Grocery Store,Bengaluru
DNR502129,5,142.64,28.53,Donor 2130,Cafeteria,Delhi NCR
DNR504913,5,114.38,22.88,Donor 4914,Event,Mumbai
DNR502095,5,133.29,26.66,Donor 2096,Event,Remote
DNR510507,5,103.31,20.66,Donor 10508,Bakery,Jaipur
DNR504761,5,234.15,46.83,Donor 4762,Cafeteria,Bengaluru
DNR507936,5,136.34,27.27,Donor 7937,Restaurant,Hyderabad
DNR502936,5,71.96,14.39,Donor 2937,Grocery Store,Ahmedabad
DNR502955,5,166.78,33.36,Donor 2956,Restaurant,Ahmedabad
DNR506947,5,86.13,17.23,Donor 6948,Household,Delhi NCR
DNR504810,5,143.67,28.73,Donor 4811,Event,Kolkata
DNR506348,5,117.65,23.53,Donor 6349,Event,Remote
DNR508886,5,90.97,18.19,Donor 8887,Restaurant,Bengaluru
DNR510069,5,92.74,18.55,Donor 10070,Grocery Store,Remote
DNR500329,5,199.2,39.84,Donor 330,Event,Remote
DNR500360,5,177.81,35.56,Donor 361,Hotel,Kolkata
DNR500359,5,129.27,25.85,Donor 360,Hotel,Delhi NCR
DNR500358,5,111.42,22.28,Donor 359,Hotel,Chennai
DNR506937,5,114.42,22.88,Donor 6938,Grocery Store,Ahmedabad
DNR511901,5,169.64,33.93,Donor 11902,Household,Pune
DNR505459,5,169.79,33.96,Donor 5460,Event,Pune
DNR505455,5,139.79,27.96,Donor 5456,Cafeteria,Chennai
DNR505990,5,125.33,25.07,Donor 5991,Cafeteria,Hyderabad
DNR511234,5,145.09,29.02,Donor 11235,Bakery,Kolkata
DNR501612,5,162.24,32.45,Donor 1613,Household,Ahmedabad
DNR501730,5,130.37,26.07,Donor 1731,Hotel,Bengaluru
DNR506075,5,114.34,22.87,Donor 6076,Cafeteria,Pune
DNR501083,5,113.6,22.72,Donor 1084,Restaurant,Delhi NCR
DNR501082,5,129.8,25.96,Donor 1083,Restaurant,Remote
DNR506067,5,129.02,25.8,Donor 6068,Hotel,Bengaluru
DNR504627,5,163.36,32.67,Donor 4628,Restaurant,Bengaluru
DNR502294,5,124.85,24.97,Donor 2295,Restaurant,Kolkata
DNR507895,5,118.76,23.75,Donor 7896,Household,Ahmedabad
DNR502310,5,128.48,25.7,Donor 2311,Household,Hyderabad
DNR504718,5,93.55,18.71,Donor 4719,Cafeteria,Kolkata
DNR502238,5,117.49,23.5,Donor 2239,Cafeteria,Pune
DNR511519,5,76.98,15.4,Donor 11520,Event,Kolkata
DNR500770,5,128.94,25.79,Donor 771,Hotel,Delhi NCR
DNR500664,5,214.81,42.96,Donor 665,Hotel,Mumbai
DNR502350,5,116.62,23.32,Donor 2351,Event,Jaipur
DNR509391,5,120.3,24.06,Donor 9392,Bakery,Chennai
DNR502869,5,136.43,27.29,Donor 2870,Restaurant,Kolkata
DNR502381,5,96.65,19.33,Donor 2382,Household,Bengaluru
DNR507877,5,143.49,28.7,Donor 7878,Hotel,Remote
DNR507870,5,117.31,23.46,Donor 7871,Cafeteria,Ahmedabad
DNR506517,5,95.16,19.03,Donor 6518,Hotel,Mumbai
DNR509026,5,91.13,18.23,Donor 9027,Restaurant,Mumbai
DNR504628,5,130.99,26.2,Donor 4629,Grocery Store,Remote
DNR509440,5,108.47,21.69,Donor 9441,Bakery,Ahmedabad
DNR506586,5,120.0,24.0,Donor 6587,Hotel,Bengaluru
DNR509092,5,78.88,15.78,Donor 9093,Household,Kolkata
DNR509088,5,134.35,26.87,Donor 9089,Cafeteria,Ahmedabad
DNR500653,5,160.0,32.0,Donor 654,Restaurant,Delhi NCR
DNR510113,5,132.49,26.5,Donor 10114,Restaurant,Chennai
DNR506905,5,197.96,39.59,Donor 6906,Cafeteria,Pune
DNR502846,5,96.75,19.35,Donor 2847,Event,Ahmedabad
DNR507803,5,121.98,24.4,Donor 7804,Event,Kolkata
DNR510401,5,77.17,15.43,Donor 10402,Grocery Store,Pune
DNR510391,5,110.53,22.11,Donor 10392,Event,Chennai
DNR510378,5,117.99,23.6,Donor 10379,Hotel,Mumbai
DNR509074,5,147.38,29.48,Donor 9075,Cafeteria,Pune
DNR502832,5,134.96,26.99,Donor 2833,Restaurant,Ahmedabad
DNR509336,5,143.01,28.6,Donor 9337,Household,Pune
DNR504114,5,184.18,36.84,Donor 4115,Cafeteria,Bengaluru
DNR507626,5,76.79,15.36,Donor 7627,Event,Hyderabad
DNR506879,5,92.77,18.55,Donor 6880,Cafeteria,Pune
DNR500383,5,93.38,18.68,Donor 384,Grocery Store,Hyderabad
DNR511720,5,98.95,19.79,Donor 11721,Cafeteria,Jaipur
DNR503220,5,122.96,24.59,Donor 3221,Restaurant,Kolkata
DNR501556,5,140.69,28.14,Donor 1557,Grocery Store,Bengaluru
DNR501236,5,87.71,17.54,Donor 1237,Restaurant,Kolkata
DNR505920,5,190.02,38.0,Donor 5921,Cafeteria,Remote
DNR508211,5,142.07,28.41,Donor 8212,Event,Bengaluru
DNR505550,5,118.11,23.62,Donor 5551,Event,Remote
DNR505570,5,97.59,19.52,Donor 5571,Bakery,Kolkata
DNR501133,5,157.6,31.52,Donor 1134,Household,Chennai
DNR501171,5,165.72,33.14,Donor 1172,Bakery,Mumbai
DNR501619,5,96.72,19.34,Donor 1620,Cafeteria,Kolkata
DNR510951,5,106.58,21.32,Donor 10952,Hotel,Remote
DNR509913,5,111.34,22.27,Donor 9914,Event,Mumbai
DNR503189,5,146.43,29.29,Donor 3190,Household,Remote
DNR504132,5,86.92,17.38,Donor 4133,Cafeteria,Chennai
DNR502443,5,165.75,33.15,Donor 2444,Restaurant,Hyderabad
DNR510371,5,100.42,20.08,Donor 10372,Hotel,Chennai
DNR510368,5,135.61,27.12,Donor 10369,Hotel,Delhi NCR
DNR510366,5,123.89,24.78,Donor 10367,Restaurant,Bengaluru
DNR506592,5,188.47,37.69,Donor 6593,Household,Pune
DNR504410,5,120.58,24.12,Donor 4411,Restaurant,Ahmedabad
DNR506647,5,147.13,29.43,Donor 6648,Hotel,Kolkata
DNR506676,5,117.39,23.48,Donor 6677,Hotel,Chennai
DNR504128,5,144.85,28.97,Donor 4129,Cafeteria,Jaipur
DNR506847,5,122.03,24.41,Donor 6848,Household,Ahmedabad
DNR511708,5,103.08,20.62,Donor 11709,Bakery,Hyderabad
DNR504461,5,95.45,19.09,Donor 4462,Hotel,Chennai
DNR504488,5,141.14,28.23,Donor 4489,Cafeteria,Bengaluru
DNR509353,5,142.89,28.58,Donor 9354,Restaurant,Jaipur
DNR509337,5,104.71,20.94,Donor 9338,Household,Pune
DNR510288,5,225.09,45.02,Donor 10289,Grocery Store,Delhi NCR
DNR509298,5,134.04,26.81,Donor 9299,Restaurant,Jaipur
DNR504194,5,167.84,33.57,Donor 4195,Event,Mumbai
DNR511694,5,86.22,17.24,Donor 11695,Hotel,Pune
DNR510219,5,148.85,29.77,Donor 10220,Hotel,Chennai
DNR502626,5,151.26,30.25,Donor 2627,Grocery Store,Pune
DNR509250,5,79.79,15.96,Donor 9251,Restaurant,Ahmedabad
DNR506733,5,91.05,18.21,Donor 6734,Cafeteria,Ahmedabad
DNR504319,5,125.67,25.13,Donor 4320,Event,Hyderabad
DNR504345,5,166.12,33.22,Donor 4346,Hotel,Mumbai
DNR511641,5,125.16,25.03,Donor 11642,Grocery Store,Jaipur
DNR505973,5,153.92,30.78,Donor 5974,Household,Bengaluru
DNR501566,5,163.55,32.71,Donor 1567,Household,Jaipur
DNR505524,5,130.55,26.11,Donor 5525,Event,Bengaluru
DNR510993,5,109.41,21.88,Donor 10994,Hotel,Hyderabad
DNR504348,5,112.2,22.44,Donor 4349,Household,Delhi NCR
DNR509191,5,88.02,17.6,Donor 9192,Household,Bengaluru
DNR500559,5,138.45,27.69,Donor 560,Restaurant,Hyderabad
DNR506655,5,138.22,27.64,Donor 6656,Restaurant,Ahmedabad
DNR507756,5,116.38,23.28,Donor 7757,Event,Ahmedabad
DNR509175,5,175.34,35.07,Donor 9176,Household,Chennai
DNR510309,5,153.72,30.74,Donor 10310,Restaurant,Remote
DNR509789,5,78.73,15.75,Donor 9790,Hotel,Chennai
DNR509786,5,95.83,19.17,Donor 9787,Grocery Store,Mumbai
DNR503433,5,139.72,27.94,Donor 3434,Restaurant,Delhi NCR
DNR500047,5,138.94,27.79,Donor 48,Household,Delhi NCR
DNR503289,5,134.41,26.88,Donor 3290,Hotel,Mumbai
DNR505818,5,128.21,25.64,Donor 5819,Restaurant,Pune
DNR511052,5,118.96,23.79,Donor 11053,Restaurant,Pune
DNR501406,5,97.45,19.49,Donor 1407,Grocery Store,Kolkata
DNR508344,5,130.96,26.19,Donor 8345,Household,Kolkata
DNR505679,5,140.13,28.03,Donor 5680,Household,Bengaluru
DNR505674,5,129.96,25.99,Donor 5675,Grocery Store,Chennai
DNR511158,5,139.96,27.99,Donor 11159,Event,Kolkata
DNR511150,5,106.29,21.26,Donor 11151,Hotel,Ahmedabad
DNR500005,4,103.69,25.92,Donor 6,Hotel,Pune
DNR507339,4,81.86,20.46,Donor 7340,Event,Hyderabad
DNR511976,4,145.23,36.31,Donor 11977,Restaurant,Pune
DNR509755,4,135.75,33.94,Donor 9756,Restaurant,Remote
DNR503454,4,107.16,26.79,Donor 3455,Grocery Store,Ahmedabad
DNR503405,4,110.61,27.65,Donor 3406,Hotel,Pune
DNR507385,4,95.2,23.8,Donor 7386,Grocery Store,Mumbai
DNR509821,4,88.32,22.08,Donor 9822,Restaurant,Hyderabad
DNR509823,4,144.12,36.03,Donor 9824,Restaurant,Jaipur
DNR509824,4,79.71,19.93,Donor 9825,Hotel,Chennai
DNR503327,4,128.34,32.08,Donor 3328,Cafeteria,Bengaluru
DNR505789,4,117.81,29.45,Donor 5790,Restaurant,Remote
DNR505671,4,58.43,14.61,Donor 5672,Restaurant,Ahmedabad
DNR508273,4,135.19,33.8,Donor 8274,Event,Delhi NCR
DNR511155,4,96.83,24.21,Donor 11156,Restaurant,Hyderabad
DNR505836,4,85.24,21.31,Donor 5837,Cafeteria,Mumbai
DNR511073,4,147.72,36.93,Donor 11074,Bakery,Ahmedabad
DNR511077,4,67.18,16.8,Donor 11078,Cafeteria,Kolkata
DNR511088,4,94.84,23.71,Donor 11089,Event,Delhi NCR
DNR505685,4,105.62,26.4,Donor 5686,Event,Mumbai
DNR508358,4,139.08,34.77,Donor 8359,Restaurant,Jaipur
DNR503608,4,144.74,36.18,Donor 3609,Restaurant,Ahmedabad
DNR509263,4,101.12,25.28,Donor 9264,Restaurant,Remote
DNR509265,4,81.38,20.34,Donor 9266,Event,Hyderabad
DNR507705,4,97.49,24.37,Donor 7706,Restaurant,Mumbai
DNR509271,4,103.05,25.76,Donor 9272,Cafeteria,Kolkata
DNR502653,4,114.26,28.56,Donor 2654,Bakery,Kolkata
DNR504254,4,79.67,19.92,Donor 4255,Cafeteria,Mumbai
DNR504261,4,85.51,21.38,Donor 4262,Household,Remote
DNR504240,4,75.08,18.77,Donor 4241,Cafeteria,Jaipur
DNR510228,4,196.59,49.15,Donor 10229,Event,Pune
DNR509284,4,119.47,29.87,Donor 9285,Event,Chennai
DNR509287,4,110.58,27.64,Donor 9288,Household,Mumbai
DNR507692,4,91.4,22.85,Donor 7693,Restaurant,Hyderabad
DNR506749,4,117.41,29.35,Donor 6750,Bakery,Mumbai
DNR509289,4,65.73,16.43,Donor 9290,Cafeteria,Chennai
DNR504215,4,96.01,24.0,Donor 4216,Bakery,Delhi NCR
DNR510207,4,76.19,19.05,Donor 10208,Hotel,Jaipur
DNR502702,4,97.21,24.3,Donor 2703,Cafeteria,Kolkata
DNR506786,4,87.19,21.8,Donor 6787,Cafeteria,Pune
DNR500444,4,106.24,26.56,Donor 445,Hotel,Mumbai
DNR500451,4,91.8,22.95,Donor 452,Restaurant,Jaipur
DNR500460,4,75.47,18.87,Donor 461,Household,Jaipur
DNR506795,4,106.46,26.62,Donor 6796,Cafeteria,Bengaluru
DNR506800,4,119.34,29.83,Donor 6801,Restaurant,Hyderabad
DNR506771,4,79.56,19.89,Donor 6772,Hotel,Remote
DNR506837,4,158.05,39.51,Donor 6838,Cafeteria,Remote
DNR507654,4,63.91,15.98,Donor 7655,Event,Kolkata
DNR506803,4,147.51,36.88,Donor 6804,Cafeteria,Ahmedabad
DNR504269,4,67.89,16.97,Donor 4270,Cafeteria,Chennai
DNR504274,4,76.69,19.17,Donor 4275,Hotel,Kolkata
DNR504276,4,73.3,18.32,Donor 4277,Restaurant,Kolkata
DNR502645,4,78.78,19.7,Donor 2646,Hotel,Bengaluru
DNR509258,4,142.01,35.5,Donor 9259,Household,Chennai
DNR509236,4,90.47,22.62,Donor 9237,Household,Chennai
DNR502602,4,147.34,36.84,Donor 2603,Cafeteria,Delhi NCR
DNR500484,4,102.59,25.65,Donor 485,Restaurant,Hyderabad
DNR511644,4,65.43,16.36,Donor 11645,Restaurant,Chennai
DNR511649,4,89.44,22.36,Donor 11650,Restaurant,Hyderabad
DNR500499,4,114.89,28.72,Donor 500,Restaurant,Bengaluru
DNR500500,4,87.68,21.92,Donor 501,Restaurant,Ahmedabad
DNR500502,4,86.92,21.73,Donor 503,Hotel,Bengaluru
DNR506731,4,92.17,23.04,Donor 6732,Restaurant,Kolkata
DNR507726,4,81.83,20.46,Donor 7727,Household,Mumbai
DNR507728,4,102.08,25.52,Donor 7729,Restaurant,Pune
DNR502623,4,82.89,20.72,Donor 2624,Grocery Store,Chennai
DNR502628,4,113.61,28.4,Donor 2629,Grocery Store,Kolkata
DNR510257,4,89.73,22.43,Donor 10258,Restaurant,Jaipur
DNR504294,4,110.9,27.72,Donor 4295,Household,Chennai
DNR510214,4,115.75,28.94,Donor 10215,Restaurant,Remote
DNR507673,4,103.0,25.75,Donor 7674,Restaurant,Kolkata
DNR504208,4,105.85,26.46,Donor 4209,Hotel,Bengaluru
DNR502749,4,58.11,14.53,Donor 2750,Cafeteria,Remote
DNR502715,4,147.88,36.97,Donor 2716,Grocery Store,Pune
DNR502731,4,88.32,22.08,Donor 2732,Cafeteria,Pune
DNR509305,4,88.28,22.07,Donor 9306,Bakery,Remote
