NGO_ID,User_ID,Organization_Name,Phone,Address,Capacity,Food_Types,Latitude,Longitude
NGO701090,USER_NGO701090,Community NGO 1091,Not Provided,Remote - North,10650,Mixed,20.5937,78.9629
NGO701091,USER_NGO701091,Community NGO 1092,Not Provided,Kolkata - North,13075,Mixed,22.5726,88.3639
NGO701092,USER_NGO701092,Community NGO 1093,Not Provided,Mumbai - East,1745,Mixed,19.076,72.8777
NGO701093,USER_NGO701093,Community NGO 1094,Not Provided,Mumbai - East,13145,Mixed,19.076,72.8777
NGO701096,USER_NGO701096,Community NGO 1097,Not Provided,Ahmedabad - Central,1490,Mixed,23.0225,72.5714
NGO701097,USER_NGO701097,Community NGO 1098,Not Provided,Ahmedabad - East,6785,Mixed,23.0225,72.5714
NGO701098,USER_NGO701098,Community NGO 1099,Not Provided,Mumbai - East,11125,Mixed,19.076,72.8777
NGO700010,USER_NGO700010,Community NGO 11,Not Provided,Hyderabad - North,6695,Mixed,17.385,78.4867
NGO700109,USER_NGO700109,Community NGO 110,Not Provided,Delhi NCR - South,7910,Mixed,28.6139,77.209
NGO701101,USER_NGO701101,Community NGO 1102,Not Provided,Hyderabad - Central,11815,Mixed,17.385,78.4867
NGO701102,USER_NGO701102,Community NGO 1103,Not Provided,Bengaluru - East,13875,Mixed,12.9716,77.5946
NGO701104,USER_NGO701104,Community NGO 1105,Not Provided,Mumbai - South,5290,Mixed,19.076,72.8777
NGO701105,USER_NGO701105,Community NGO 1106,Not Provided,Chennai - East,1070,Mixed,13.0827,80.2707
NGO701106,USER_NGO701106,Community NGO 1107,Not Provided,Remote - East,6705,Mixed,20.5937,78.9629
NGO701107,USER_NGO701107,Community NGO 1108,Not Provided,Pune - South,10660,Mixed,18.5204,73.8567
NGO701108,USER_NGO701108,Community NGO 1109,Not Provided,Chennai - North,5895,Mixed,13.0827,80.2707
NGO700110,USER_NGO700110,Community NGO 111,Not Provided,Delhi NCR - North,14985,Mixed,28.6139,77.209
NGO701109,USER_NGO701109,Community NGO 1110,Not Provided,Mumbai - West,4360,Mixed,19.076,72.8777
NGO701110,USER_NGO701110,Community NGO 1111,Not Provided,Hyderabad - South,1350,Mixed,17.385,78.4867
NGO701111,USER_NGO701111,Community NGO 1112,Not Provided,Jaipur - West,7705,Mixed,26.9124,75.7873
NGO701114,USER_NGO701114,Community NGO 1115,Not Provided,Kolkata - South,14915,Mixed,22.5726,88.3639
NGO701116,USER_NGO701116,Community NGO 1117,Not Provided,Hyderabad - West,11920,Mixed,17.385,78.4867
NGO701117,USER_NGO701117,Community NGO 1118,Not Provided,Ahmedabad - South,12645,Mixed,23.0225,72.5714
NGO701119,USER_NGO701119,Community NGO 1120,Not Provided,Remote - North,1530,Mixed,20.5937,78.9629
NGO701120,USER_NGO701120,Community NGO 1121,Not Provided,Ahmedabad - East,4735,Mixed,23.0225,72.5714
NGO701121,USER_NGO701121,Community NGO 1122,Not Provided,Remote - West,11430,Mixed,20.5937,78.9629
NGO701122,USER_NGO701122,Community NGO 1123,Not Provided,Jaipur - South,1885,Mixed,26.9124,75.7873
NGO701124,USER_NGO701124,Community NGO 1125,Not Provided,Pune - West,5025,Mixed,18.5204,73.8567
NGO701125,USER_NGO701125,Community NGO 1126,Not Provided,Mumbai - Central,8400,Mixed,19.076,72.8777
NGO701126,USER_NGO701126,Community NGO 1127,Not Provided,Delhi NCR - East,9125,Mixed,28.6139,77.209
NGO701129,USER_NGO701129,Community NGO 1130,Not Provided,Mumbai - North,11645,Mixed,19.076,72.8777
NGO701130,USER_NGO701130,Community NGO 1131,Not Provided,Ahmedabad - North,7150,Mixed,23.0225,72.5714
NGO701131,USER_NGO701131,Community NGO 1132,Not Provided,Bengaluru - South,11105,Mixed,12.9716,77.5946
NGO701132,USER_NGO701132,Community NGO 1133,Not Provided,Remote - South,9365,Mixed,20.5937,78.9629
NGO701133,USER_NGO701133,Community NGO 1134,Not Provided,Remote - East,3735,Mixed,20.5937,78.9629
NGO701134,USER_NGO701134,Community NGO 1135,Not Provided,Chennai - North,12475,Mixed,13.0827,80.2707
NGO701136,USER_NGO701136,Community NGO 1137,Not Provided,Kolkata - North,10830,Mixed,22.5726,88.3639
NGO701137,USER_NGO701137,Community NGO 1138,Not Provided,Chennai - North,12385,Mixed,13.0827,80.2707
NGO701138,USER_NGO701138,Community NGO 1139,Not Provided,Kolkata - South,4835,Mixed,22.5726,88.3639
NGO701139,USER_NGO701139,Community NGO 1140,Not Provided,Kolkata - Central,10905,Mixed,22.5726,88.3639
NGO701140,USER_NGO701140,Community NGO 1141,Not Provided,Chennai - Citywide,11765,Mixed,13.0827,80.2707
NGO701141,USER_NGO701141,Community NGO 1142,Not Provided,Chennai - South,2945,Mixed,13.0827,80.2707
NGO701142,USER_NGO701142,Community NGO 1143,Not Provided,Remote - East,6390,Mixed,20.5937,78.9629
NGO701143,USER_NGO701143,Community NGO 1144,Not Provided,Bengaluru - North,3735,Mixed,12.9716,77.5946
NGO701144,USER_NGO701144,Community NGO 1145,Not Provided,Remote - East,3100,Mixed,20.5937,78.9629
NGO701145,USER_NGO701145,Community NGO 1146,Not Provided,Kolkata - Citywide,9875,Mixed,22.5726,88.3639
NGO701146,USER_NGO701146,Community NGO 1147,Not Provided,Chennai - North,1565,Mixed,13.0827,80.2707
NGO701148,USER_NGO701148,Community NGO 1149,Not Provided,Pune - South,8310,Mixed,18.5204,73.8567
NGO701149,USER_NGO701149,Community NGO 1150,Not Provided,Chennai - Central,5515,Mixed,13.0827,80.2707
NGO701151,USER_NGO701151,Community NGO 1152,Not Provided,Hyderabad - West,14335,Mixed,17.385,78.4867
NGO701152,USER_NGO701152,Community NGO 1153,Not Provided,Chennai - West,8330,Mixed,13.0827,80.2707
NGO701153,USER_NGO701153,Community NGO 1154,Not Provided,Mumbai - Citywide,3940,Mixed,19.076,72.8777
NGO701155,USER_NGO701155,Community NGO 1156,Not Provided,Jaipur - Citywide,6490,Mixed,26.9124,75.7873
NGO701156,USER_NGO701156,Community NGO 1157,Not Provided,Chennai - Citywide,8705,Mixed,13.0827,80.2707
NGO701157,USER_NGO701157,Community NGO 1158,Not Provided,Chennai - West,6730,Mixed,13.0827,80.2707
NGO701158,USER_NGO701158,Community NGO 1159,Not Provided,Pune - North,2860,Mixed,18.5204,73.8567
NGO700115,USER_NGO700115,Community NGO 116,Not Provided,Chennai - South,8745,Mixed,13.0827,80.2707
NGO701159,USER_NGO701159,Community NGO 1160,Not Provided,Delhi NCR - West,8495,Mixed,28.6139,77.209
NGO701160,USER_NGO701160,Community NGO 1161,Not Provided,Chennai - North,10375,Mixed,13.0827,80.2707
NGO701162,USER_NGO701162,Community NGO 1163,Not Provided,Ahmedabad - North,10390,Mixed,23.0225,72.5714
NGO701163,USER_NGO701163,Community NGO 1164,Not Provided,Delhi NCR - North,6740,Mixed,28.6139,77.209
NGO701164,USER_NGO701164,Community NGO 1165,Not Provided,Ahmedabad - Citywide,7485,Mixed,23.0225,72.5714
NGO701165,USER_NGO701165,Community NGO 1166,Not Provided,Mumbai - West,2810,Mixed,19.076,72.8777
NGO701167,USER_NGO701167,Community NGO 1168,Not Provided,Delhi NCR - South,14660,Mixed,28.6139,77.209
NGO701168,USER_NGO701168,Community NGO 1169,Not Provided,Ahmedabad - North,7400,Mixed,23.0225,72.5714
NGO700116,USER_NGO700116,Community NGO 117,Not Provided,Jaipur - Citywide,3035,Mixed,26.9124,75.7873
NGO701170,USER_NGO701170,Community NGO 1171,Not Provided,Chennai - South,7515,Mixed,13.0827,80.2707
NGO701171,USER_NGO701171,Community NGO 1172,Not Provided,Hyderabad - North,3885,Mixed,17.385,78.4867
NGO701172,USER_NGO701172,Community NGO 1173,Not Provided,Delhi NCR - South,7545,Mixed,28.6139,77.209
NGO701173,USER_NGO701173,Community NGO 1174,Not Provided,Hyderabad - West,4105,Mixed,17.385,78.4867
NGO701175,USER_NGO701175,Community NGO 1176,Not Provided,Jaipur - South,11835,Mixed,26.9124,75.7873
NGO701176,USER_NGO701176,Community NGO 1177,Not Provided,Pune - West,1285,Mixed,18.5204,73.8567
NGO701177,USER_NGO701177,Community NGO 1178,Not Provided,Kolkata - North,9145,Mixed,22.5726,88.3639
NGO701178,USER_NGO701178,Community NGO 1179,Not Provided,Kolkata - North,10325,Mixed,22.5726,88.3639
NGO700117,USER_NGO700117,Community NGO 118,Not Provided,Mumbai - Citywide,4690,Mixed,19.076,72.8777
NGO701179,USER_NGO701179,Community NGO 1180,Not Provided,Kolkata - East,13330,Mixed,22.5726,88.3639
NGO701180,USER_NGO701180,Community NGO 1181,Not Provided,Hyderabad - North,13465,Mixed,17.385,78.4867
NGO701181,USER_NGO701181,Community NGO 1182,Not Provided,Remote - South,3555,Mixed,20.5937,78.9629
NGO701182,USER_NGO701182,Community NGO 1183,Not Provided,Kolkata - Citywide,4615,Mixed,22.5726,88.3639
NGO701183,USER_NGO701183,Community NGO 1184,Not Provided,Kolkata - North,8235,Mixed,22.5726,88.3639
NGO701185,USER_NGO701185,Community NGO 1186,Not Provided,Delhi NCR - South,8525,Mixed,28.6139,77.209
NGO701187,USER_NGO701187,Community NGO 1188,Not Provided,Mumbai - Central,9040,Mixed,19.076,72.8777
NGO701188,USER_NGO701188,Community NGO 1189,Not Provided,Bengaluru - West,5245,Mixed,12.9716,77.5946
NGO700118,USER_NGO700118,Community NGO 119,Not Provided,Kolkata - South,9855,Mixed,22.5726,88.3639
NGO701189,USER_NGO701189,Community NGO 1190,Not Provided,Pune - East,7435,Mixed,18.5204,73.8567
NGO701190,USER_NGO701190,Community NGO 1191,Not Provided,Hyderabad - Central,3770,Mixed,17.385,78.4867
NGO701191,USER_NGO701191,Community NGO 1192,Not Provided,Delhi NCR - Citywide,5985,Mixed,28.6139,77.209
NGO701192,USER_NGO701192,Community NGO 1193,Not Provided,Ahmedabad - Central,9155,Mixed,23.0225,72.5714
NGO701193,USER_NGO701193,Community NGO 1194,Not Provided,Hyderabad - Central,8510,Mixed,17.385,78.4867
NGO701195,USER_NGO701195,Community NGO 1196,Not Provided,Hyderabad - West,13080,Mixed,17.385,78.4867
NGO701197,USER_NGO701197,Community NGO 1198,Not Provided,Bengaluru - Central,2910,Mixed,12.9716,77.5946
NGO701198,USER_NGO701198,Community NGO 1199,Not Provided,Remote - North,2660,Mixed,20.5937,78.9629
NGO700011,USER_NGO700011,Community NGO 12,Not Provided,Remote - Citywide,830,Mixed,20.5937,78.9629
NGO700119,USER_NGO700119,Community NGO 120,Not Provided,Ahmedabad - North,14495,Mixed,23.0225,72.5714
NGO701202,USER_NGO701202,Community NGO 1203,Not Provided,Remote - South,12230,Mixed,20.5937,78.9629
NGO701203,USER_NGO701203,Community NGO 1204,Not Provided,Mumbai - South,1840,Mixed,19.076,72.8777
NGO701204,USER_NGO701204,Community NGO 1205,Not Provided,Jaipur - North,6955,Mixed,26.9124,75.7873
NGO701205,USER_NGO701205,Community NGO 1206,Not Provided,Mumbai - West,9985,Mixed,19.076,72.8777
NGO701206,USER_NGO701206,Community NGO 1207,Not Provided,Mumbai - South,4980,Mixed,19.076,72.8777
NGO701207,USER_NGO701207,Community NGO 1208,Not Provided,Mumbai - North,1530,Mixed,19.076,72.8777
NGO701208,USER_NGO701208,Community NGO 1209,Not Provided,Delhi NCR - Citywide,3290,Mixed,28.6139,77.209
NGO700120,USER_NGO700120,Community NGO 121,Not Provided,Hyderabad - Central,5815,Mixed,17.385,78.4867
NGO701209,USER_NGO701209,Community NGO 1210,Not Provided,Kolkata - North,5015,Mixed,22.5726,88.3639
NGO701210,USER_NGO701210,Community NGO 1211,Not Provided,Bengaluru - North,3465,Mixed,12.9716,77.5946
NGO701211,USER_NGO701211,Community NGO 1212,Not Provided,Chennai - West,1405,Mixed,13.0827,80.2707
NGO701213,USER_NGO701213,Community NGO 1214,Not Provided,Kolkata - West,4515,Mixed,22.5726,88.3639
NGO701214,USER_NGO701214,Community NGO 1215,Not Provided,Hyderabad - North,2440,Mixed,17.385,78.4867
NGO701215,USER_NGO701215,Community NGO 1216,Not Provided,Chennai - Central,14825,Mixed,13.0827,80.2707
NGO701216,USER_NGO701216,Community NGO 1217,Not Provided,Mumbai - South,9140,Mixed,19.076,72.8777
NGO701217,USER_NGO701217,Community NGO 1218,Not Provided,Remote - North,180,Mixed,20.5937,78.9629
NGO700121,USER_NGO700121,Community NGO 122,Not Provided,Chennai - West,5260,Mixed,13.0827,80.2707
NGO701219,USER_NGO701219,Community NGO 1220,Not Provided,Pune - West,1010,Mixed,18.5204,73.8567
NGO701220,USER_NGO701220,Community NGO 1221,Not Provided,Chennai - Central,945,Mixed,13.0827,80.2707
NGO701221,USER_NGO701221,Community NGO 1222,Not Provided,Ahmedabad - North,3960,Mixed,23.0225,72.5714
NGO701224,USER_NGO701224,Community NGO 1225,Not Provided,Jaipur - North,6100,Mixed,26.9124,75.7873
NGO701225,USER_NGO701225,Community NGO 1226,Not Provided,Mumbai - Citywide,11155,Mixed,19.076,72.8777
NGO701226,USER_NGO701226,Community NGO 1227,Not Provided,Ahmedabad - South,8730,Mixed,23.0225,72.5714
NGO701227,USER_NGO701227,Community NGO 1228,Not Provided,Jaipur - Citywide,8490,Mixed,26.9124,75.7873
NGO700122,USER_NGO700122,Community NGO 123,Not Provided,Mumbai - West,10830,Mixed,19.076,72.8777
NGO701231,USER_NGO701231,Community NGO 1232,Not Provided,Remote - South,8740,Mixed,20.5937,78.9629
NGO701232,USER_NGO701232,Community NGO 1233,Not Provided,Hyderabad - West,11130,Mixed,17.385,78.4867
NGO701233,USER_NGO701233,Community NGO 1234,Not Provided,Bengaluru - Citywide,12775,Mixed,12.9716,77.5946
NGO701234,USER_NGO701234,Community NGO 1235,Not Provided,Chennai - Citywide,12070,Mixed,13.0827,80.2707
NGO701236,USER_NGO701236,Community NGO 1237,Not Provided,Delhi NCR - Citywide,8870,Mixed,28.6139,77.209
NGO701237,USER_NGO701237,Community NGO 1238,Not Provided,Mumbai - North,2915,Mixed,19.076,72.8777
NGO701238,USER_NGO701238,Community NGO 1239,Not Provided,Pune - Citywide,5105,Mixed,18.5204,73.8567
NGO701239,USER_NGO701239,Community NGO 1240,Not Provided,Bengaluru - Citywide,5895,Mixed,12.9716,77.5946
NGO701240,USER_NGO701240,Community NGO 1241,Not Provided,Hyderabad - North,2675,Mixed,17.385,78.4867
NGO701243,USER_NGO701243,Community NGO 1244,Not Provided,Hyderabad - Citywide,5745,Mixed,17.385,78.4867
NGO701244,USER_NGO701244,Community NGO 1245,Not Provided,Remote - North,11500,Mixed,20.5937,78.9629
NGO701245,USER_NGO701245,Community NGO 1246,Not Provided,Pune - East,7450,Mixed,18.5204,73.8567
NGO701246,USER_NGO701246,Community NGO 1247,Not Provided,Kolkata - South,9470,Mixed,22.5726,88.3639
NGO701247,USER_NGO701247,Community NGO 1248,Not Provided,Ahmedabad - South,12275,Mixed,23.0225,72.5714
NGO701248,USER_NGO701248,Community NGO 1249,Not Provided,Chennai - Citywide,7690,Mixed,13.0827,80.2707
NGO701249,USER_NGO701249,Community NGO 1250,Not Provided,Delhi NCR - North,14590,Mixed,28.6139,77.209
NGO701250,USER_NGO701250,Community NGO 1251,Not Provided,Kolkata - South,430,Mixed,22.5726,88.3639
NGO701252,USER_NGO701252,Community NGO 1253,Not Provided,Jaipur - East,10545,Mixed,26.9124,75.7873
NGO701253,USER_NGO701253,Community NGO 1254,Not Provided,Chennai - North,13930,Mixed,13.0827,80.2707
NGO701254,USER_NGO701254,Community NGO 1255,Not Provided,Ahmedabad - North,8375,Mixed,23.0225,72.5714
NGO701256,USER_NGO701256,Community NGO 1257,Not Provided,Pune - South,14635,Mixed,18.5204,73.8567
NGO701257,USER_NGO701257,Community NGO 1258,Not Provided,Kolkata - West,5055,Mixed,22.5726,88.3639
NGO701258,USER_NGO701258,Community NGO 1259,Not Provided,Remote - North,13400,Mixed,20.5937,78.9629
NGO700125,USER_NGO700125,Community NGO 126,Not Provided,Kolkata - North,990,Mixed,22.5726,88.3639
NGO701259,USER_NGO701259,Community NGO 1260,Not Provided,Remote - South,12690,Mixed,20.5937,78.9629
NGO701260,USER_NGO701260,Community NGO 1261,Not Provided,Mumbai - North,1395,Mixed,19.076,72.8777
NGO701261,USER_NGO701261,Community NGO 1262,Not Provided,Ahmedabad - West,11320,Mixed,23.0225,72.5714
NGO701262,USER_NGO701262,Community NGO 1263,Not Provided,Pune - East,13230,Mixed,18.5204,73.8567
NGO701263,USER_NGO701263,Community NGO 1264,Not Provided,Delhi NCR - East,7390,Mixed,28.6139,77.209
NGO701264,USER_NGO701264,Community NGO 1265,Not Provided,Remote - Central,8435,Mixed,20.5937,78.9629
NGO701265,USER_NGO701265,Community NGO 1266,Not Provided,Bengaluru - East,5895,Mixed,12.9716,77.5946
NGO701266,USER_NGO701266,Community NGO 1267,Not Provided,Bengaluru - West,12375,Mixed,12.9716,77.5946
NGO701267,USER_NGO701267,Community NGO 1268,Not Provided,Ahmedabad - West,11765,Mixed,23.0225,72.5714
NGO701268,USER_NGO701268,Community NGO 1269,Not Provided,Ahmedabad - Central,14785,Mixed,23.0225,72.5714
NGO700126,USER_NGO700126,Community NGO 127,Not Provided,Pune - Central,12195,Mixed,18.5204,73.8567
NGO701269,USER_NGO701269,Community NGO 1270,Not Provided,Kolkata - North,2085,Mixed,22.5726,88.3639
NGO701271,USER_NGO701271,Community NGO 1272,Not Provided,Delhi NCR - Central,8720,Mixed,28.6139,77.209
NGO701272,USER_NGO701272,Community NGO 1273,Not Provided,Bengaluru - South,9830,Mixed,12.9716,77.5946
NGO701273,USER_NGO701273,Community NGO 1274,Not Provided,Jaipur - West,10660,Mixed,26.9124,75.7873
NGO701274,USER_NGO701274,Community NGO 1275,Not Provided,Pune - Central,2370,Mixed,18.5204,73.8567
NGO701276,USER_NGO701276,Community NGO 1277,Not Provided,Remote - Citywide,305,Mixed,20.5937,78.9629
NGO701277,USER_NGO701277,Community NGO 1278,Not Provided,Jaipur - North,14315,Mixed,26.9124,75.7873
NGO700127,USER_NGO700127,Community NGO 128,Not Provided,Hyderabad - West,3540,Mixed,17.385,78.4867
NGO701279,USER_NGO701279,Community NGO 1280,Not Provided,Kolkata - South,8630,Mixed,22.5726,88.3639
NGO701281,USER_NGO701281,Community NGO 1282,Not Provided,Mumbai - West,985,Mixed,19.076,72.8777
NGO701282,USER_NGO701282,Community NGO 1283,Not Provided,Chennai - Citywide,8145,Mixed,13.0827,80.2707
NGO701283,USER_NGO701283,Community NGO 1284,Not Provided,Ahmedabad - North,10820,Mixed,23.0225,72.5714
NGO701285,USER_NGO701285,Community NGO 1286,Not Provided,Chennai - Central,9465,Mixed,13.0827,80.2707
NGO701287,USER_NGO701287,Community NGO 1288,Not Provided,Jaipur - Central,11895,Mixed,26.9124,75.7873
NGO701288,USER_NGO701288,Community NGO 1289,Not Provided,Bengaluru - South,11395,Mixed,12.9716,77.5946
NGO700128,USER_NGO700128,Community NGO 129,Not Provided,Delhi NCR - East,12055,Mixed,28.6139,77.209
NGO701289,USER_NGO701289,Community NGO 1290,Not Provided,Jaipur - East,180,Mixed,26.9124,75.7873
